観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最大値(m/s),今日の最大値の品質情報,今日の最大値観測時の風向,今日の最大値観測時の風向の品質情報,今日の最大値起時（時）,今日の最大値起時（分）,今日の最大値起時の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(m/s),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値観測時の風向,昨日までの観測史上1位の値観測時の風向の品質情報,昨日までの観測史上1位の値観測時の年,昨日までの観測史上1位の値観測時の月,昨日までの観測史上1位の値観測時の日,昨日までの8月の1位の値(m/s),昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値観測時の風向,昨日までの8月の1位の値観測時の風向の品質情報,昨日までの8月の1位の値観測時の年,昨日までの8月の1位の値観測時の月,昨日までの8月の1位の値観測時の日,統計開始年
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2022,08,10,17,00,7.4,4,南南東,4,09,00,4,,,22,8,南南東,8,2004,09,08,15.0,8,南,8,2020,08,07,2003
12512,北海道上川地方,志比内（シビナイ）,,2022,08,10,17,00,3.8,4,南西,4,11,58,4,,,15.5,8,南東,8,2018,09,05,10.3,8,西北西,8,2016,08,17,1993
12551,北海道上川地方,美瑛（ビエイ）,,2022,08,10,17,00,4.5,4,南南東,4,09,12,4,,,14.5,8,南東,8,2015,03,10,14,8,///,8,1981,08,23,1977
12596,北海道上川地方,上富良野（カミフラノ）,,2022,08,10,17,00,5.3,4,南,4,13,58,4,,,15.0,8,南,8,2020,08,07,15.0,8,南,8,2020,08,07,1977
12626,北海道上川地方,富良野（フラノ）,,2022,08,10,17,00,4.7,4,南,4,15,25,4,,,19,8,南,8,1981,08,23,19,8,南,8,1981,08,23,1976
12632,北海道上川地方,麓郷（ロクゴウ）,,2022,08,10,17,00,,1,,1,,,,,,14.1,8,東南東,8,2017,09,18,11.5,8,東南東,8,2016,08,30,1978
12691,北海道上川地方,幾寅（イクトラ）,,2022,08,10,17,00,3.4,4,南,4,11,44,4,,,15,8,東南東,8,1981,08,23,15,8,東南東,8,1981,08,23,1977
12746,北海道上川地方,占冠（シムカップ）,,2022,08,10,17,00,3.2,4,南南西,4,14,27,4,,,12,8,南,8,2004,09,08,9,8,南南西,8,1981,08,23,1977
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2022,08,10,17,00,3.5,4,南,4,12,15,4,,,14,8,南南西,8,2004,09,08,13,8,南南西,8,1981,08,23,1978
15076,北海道上川地方,幌加内（ホロカナイ）,,2022,08,10,17,00,5.4,4,南南西,4,11,05,4,,,17.5,8,西,8,2010,03,21,15,8,南南西,8,1981,08,23,1977
13061,北海道留萌地方,天塩（テシオ）,,2022,08,10,17,00,8.1,4,南南西,4,13,51,4,,,27,8,南,8,2004,09,08,22,8,南南西,8,1981,08,23,1977
13086,北海道留萌地方,遠別（エンベツ）,,2022,08,10,17,00,5.5,4,南西,4,14,11,4,,,24,8,///,8,1985,11,29,14.6,8,東,8,2016,08,30,1977
13121,北海道留萌地方,初山別（ショサンベツ）,,2022,08,10,17,00,6.3,4,南西,4,11,45,4,,,25.0,8,西北西,8,2017,12,25,17,8,南南西,8,1981,08,23,1977
13146,北海道留萌地方,焼尻（ヤギシリ）,,2022,08,10,17,00,7.4,4,南西,4,09,25,4,,,31,8,西南西,8,2004,09,08,23,8,南西,8,1981,08,23,1977
13181,北海道留萌地方,羽幌（ハボロ）,47404,2022,08,10,17,00,7.6,4,南西,4,10,36,4,,,37.1,8,西,8,1939,12,11,24.0,8,南東,8,1940,08,26,1921
13261,北海道留萌地方,達布（タップ）,,2022,08,10,17,00,5.7,4,南西,4,11,17,4,,,15.6,8,///,8,2010,03,21,9,8,南南西,8,1981,08,23,1977
13277,北海道留萌地方,留萌（ルモイ）,47406,2022,08,10,17,00,8.7,4,西,4,11,19,4,,,36.7,8,南西,8,1951,02,22,20.0,8,西南西,8,1981,08,23,1943
13311,北海道留萌地方,増毛（マシケ）,,2022,08,10,17,00,7.9,4,西,4,10,53,4,,,30,8,西南西,8,2004,09,08,17,8,西,8,2004,08,31,1978
13321,北海道留萌地方,幌糠（ホロヌカ）,,2022,08,10,17,00,4.5,4,南,4,09,13,4,,,15.1,8,南東,8,2017,04,18,11.3,8,南南東,8,2020,08,07,1977
14026,北海道石狩地方,浜益（ハママス）,,2022,08,10,17,00,4.7,4,東南東,4,16,17,4,,,28.2,8,西,8,2013,01,03,17,8,西,8,2004,08,31,1977
14071,北海道石狩地方,厚田（アツタ）,,2022,08,10,17,00,5.0,4,東南東,4,15,01,4,,,20,8,西南西,8,1979,12,16,12.3,8,西南西,8,2020,08,07,1977
14101,北海道石狩地方,新篠津（シンシノツ）,,2022,08,10,17,00,7.2,4,南南東,4,14,47,4,,,25,8,西北西,8,1986,11,26,18,8,西,8,2004,08,31,1978
14116,北海道石狩地方,山口（ヤマグチ）,,2022,08,10,17,00,3.3,4,南東,4,16,07,4,,,19.3,8,北北西,8,2016,03,01,13,8,南東,8,1981,08,23,1977
14121,北海道石狩地方,石狩（イシカリ）,,2022,08,10,17,00,3.2,4,南東,4,13,04,4,,,23,8,西北西,8,1991,03,07,13,8,西,8,2004,08,31,1990
14136,北海道石狩地方,江別（エベツ）,,2022,08,10,17,00,8.5,4,南,4,12,45,4,,,22.1,8,南南東,8,2018,09,05,15.1,8,南,8,2020,08,07,2000
14163,北海道石狩地方,札幌（サッポロ）,47412,2022,08,10,17,00,9.4,4,南南東,4,14,41,4,,,28.8,8,北北西,8,1912,03,19,17.7,8,南南東,8,2020,08,07,1876
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2022,08,10,17,00,4.8,4,南,4,08,44,4,,,15.0,8,西北西,8,2016,03,01,11,8,北西,8,1997,08,05,1977
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2022,08,10,17,00,1.5,4,東南東,4,14,07,4,,,10.9,8,西,8,2010,03,21,6.3,8,北,8,2016,08,17,1977
14296,北海道石狩地方,千歳（チトセ）,,2022,08,10,17,00,8.1,4,南南東,4,10,30,4,,,23,8,南西,8,2004,09,08,18.6,8,南南東,8,2020,08,07,2003
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2022,08,10,17,00,6.5,4,南,4,12,15,4,,,19.4,8,西北西,8,2010,03,21,13.0,8,南,8,2020,08,07,1976
15161,北海道空知地方,深川（フカガワ）,,2022,08,10,17,00,8.0,4,南南西,4,14,57,4,,,24,8,南東,8,2002,01,22,14.2,8,南,8,2020,08,07,1977
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2022,08,10,17,00,4.1,4,西,4,15,56,4,,,17.8,8,西,8,2010,03,21,9.0,8,西南西,8,2020,08,07,1978
15241,北海道空知地方,滝川（タキカワ）,,2022,08,10,17,00,8.9,4,南南西,4,15,04,4,,,20,8,南,8,1987,09,01,16,8,南,8,1981,08,23,1976
15251,北海道空知地方,芦別（アシベツ）,,2022,08,10,17,00,4.0,4,南南東,4,15,14,4,,,16.3,8,南東,8,2016,08,30,16.3,8,南東,8,2016,08,30,1978
15311,北海道空知地方,月形（ツキガタ）,,2022,08,10,17,00,6.8,4,南,4,14,24,4,,,19,8,南,8,2004,09,08,14.5,8,南南東,8,2020,08,07,1977
15321,北海道空知地方,美唄（ビバイ）,,2022,08,10,17,00,7.3,4,南南西,4,14,04,4,,,21,8,南,8,2004,09,08,15.0,8,南南東,8,2020,08,07,1977
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2022,08,10,17,00,8.6,4,南南東,4,07,47,4,,,31.4,8,南南西,8,1954,09,26,17.5,8,南南東,8,2020,08,07,1946
15431,北海道空知地方,長沼（ナガヌマ）,,2022,08,10,17,00,6.4,4,南南東,4,09,14,4,,,15.0,8,南南東,8,2018,09,05,13.4,8,南,8,2020,08,07,1977
15442,北海道空知地方,夕張（ユウバリ）,,2022,08,10,17,00,2.2,4,東南東,4,09,49,4,,,15,8,北東,8,1987,10,17,11,8,北東,8,1989,08,28,1976
16026,北海道後志地方,美国（ビクニ）,,2022,08,10,17,00,4.0,4,南,4,07,12,4,,,16,8,東北東,8,2002,01,07,15,8,南西,8,1981,08,23,1977
16061,北海道後志地方,神恵内（カモエナイ）,,2022,08,10,17,00,5.2,4,西,4,06,55,4,,,24.5,8,西,8,2012,12,06,13.3,8,西,8,2020,08,07,1977
16076,北海道後志地方,余市（ヨイチ）,,2022,08,10,17,00,4.1,4,南南西,4,13,20,4,,,17,8,南南西,8,2004,09,08,12,8,南西,8,1981,08,23,1977
16091,北海道後志地方,小樽（オタル）,47411,2022,08,10,17,00,5.5,4,南西,4,07,38,4,,,27.9,8,南西,8,1954,09,27,17.7,8,南西,8,1970,08,16,1943
16156,北海道後志地方,共和（キョウワ）,,2022,08,10,17,00,6.3,4,南南西,4,05,41,4,,,25.5,8,西北西,8,2016,03,01,16,8,西南西,8,1981,08,23,1977
16206,北海道後志地方,蘭越（ランコシ）,,2022,08,10,17,00,5.0,4,南南東,4,13,36,4,,,14,8,西,8,1990,04,09,9.3,8,南西,8,2020,08,11,1977
16217,北海道後志地方,倶知安（クッチャン）,47433,2022,08,10,17,00,9.0,4,南南西,4,06,28,4,,,34.1,8,南南西,8,1954,09,27,18.7,8,南東,8,2016,08,30,1944
16252,北海道後志地方,寿都（スッツ）,47421,2022,08,10,17,00,6.1,4,南南東,4,13,55,4,,,49.8,8,南南東,8,1952,04,15,28.6,8,南南東,8,1919,08,18,1884
16281,北海道後志地方,真狩（マッカリ）,,2022,08,10,17,00,3.1,4,南,4,08,22,4,,,17.2,8,南東,8,2016,02,29,12.2,8,南南東,8,2020,08,07,1978
16286,北海道後志地方,喜茂別（キモベツ）,,2022,08,10,17,00,2.7,4,東,4,01,41,4,,,14.3,8,西,8,2016,03,01,13,8,南西,8,1981,08,23,1977
16321,北海道後志地方,黒松内（クロマツナイ）,,2022,08,10,17,00,3.4,4,南南東,4,07,04,4,,,16,8,北西,8,1979,10,19,11.2,8,南東,8,2016,08,30,1977
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2022,08,10,17,00,4.9,4,西南西,4,11,31,4,,,33.3,8,西南西,8,1946,12,27,20.1,8,西南西,8,1979,08,19,1942
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2022,08,10,17,00,4.2,4,東北東,4,12,46,4,,,22,8,南西,8,2004,09,08,13,8,西南西,8,1981,08,23,1977
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2022,08,10,17,00,3.9,4,西北西,4,15,04,4,,,13.1,8,西,8,2010,03,16,10,8,西,8,2004,08,31,1977
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2022,08,10,17,00,4.6,4,西南西,4,09,44,4,,,28.3,8,西南西,8,1961,09,17,17.8,8,東北東,8,1969,08,24,1956
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2022,08,10,17,00,4.8,4,南,4,13,37,4,,,23.0,8,西,8,2017,12,25,21.5,8,西北西,8,2016,08,17,2003
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2022,08,10,17,00,4.6,4,南南東,4,14,42,4,,,22,8,南西,8,2004,09,08,15.3,8,西,8,2016,08,17,1977
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2022,08,10,17,00,4.3,4,南南西,4,12,42,4,,,18,8,南南西,8,2004,09,08,10,8,南西,8,1984,08,20,1977
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2022,08,10,17,00,6.1,4,南,4,13,17,4,,,22.3,8,北西,8,2013,03,02,15.1,8,南南西,8,2016,08,17,1977
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2022,08,10,17,00,2.8,4,南,4,13,52,4,,,16,8,西南西,8,1987,09,01,9.7,8,北西,8,2013,08,20,1977
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2022,08,10,17,00,3.5,4,南南西,4,13,23,4,,,17,8,南南西,8,2004,09,08,13.2,8,西南西,8,2020,08,07,1977
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409,2022,08,10,17,00,7.0,4,南西,4,11,22,4,,,29.8,8,西北西,8,1950,11,28,17.1,8,南,8,1913,08,28,1890
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2022,08,10,17,00,2.4,4,南西,4,12,30,4,,,20,8,東南東,8,1994,02,22,12,8,南東,8,1981,08,05,1978
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2022,08,10,17,00,2.6,4,西北西,4,12,28,4,,,20.1,8,南東,8,2018,09,05,10.5,8,南南西,8,2020,08,07,1993
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2022,08,10,17,00,3.3,4,南,4,14,52,4,,,16,8,西南西,8,1978,04,17,10.1,8,西北西,8,2013,08,20,1977
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2022,08,10,17,00,5.9,4,南,4,14,32,4,,,17.2,8,西,8,2022,04,27,17.0,8,南,8,2016,08,17,1976
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2022,08,10,17,00,7.0,4,南南西,4,10,30,4,,,20,8,南南西,8,2004,09,08,19.3,8,南南東,8,2016,08,17,2003
17546,北海道網走・北見・紋別地方,小清水（コシミズ）,,2022,08,10,17,00,7.0,4,南,4,16,15,4,,,21.0,8,南南東,8,2016,08,17,21.0,8,南南東,8,2016,08,17,1977
17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2022,08,10,17,00,5.7,4,南西,4,12,25,4,,,24,8,南,8,1995,03,17,17,8,南,8,1981,08,23,1977
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2022,08,10,17,00,3.3,4,西南西,4,10,50,4,,,17.2,8,西,8,2017,12,25,11.8,8,西北西,8,2017,08,25,1978
17607,北海道網走・北見・紋別地方,境野（サカイノ）,,2022,08,10,17,00,7.0,4,南,4,12,18,4,,,18.4,8,西南西,8,2022,04,27,12.9,8,南,8,2016,08,17,1977
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2022,08,10,17,00,3.6,4,南,4,11,19,4,,,14,8,北北西,8,1978,03,01,12,8,///,8,1981,08,23,1977
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2022,08,10,17,00,5.2,4,南西,4,13,21,4,,,14.0,8,南南西,8,2017,11,11,13.5,8,南南東,8,2016,08,17,1988
18038,北海道根室地方,羅臼（ラウス）,,2022,08,10,17,00,4.3,4,北北西,4,05,02,4,,,21.9,8,北西,8,2016,10,21,10.9,8,東南東,8,2016,08,17,2005
18136,北海道根室地方,標津（シベツ）,,2022,08,10,17,00,3.9,4,南西,4,13,04,4,,,20,8,北西,8,1978,03,01,15,8,南,8,1981,08,23,1977
18161,北海道根室地方,上標津（カミシベツ）,,2022,08,10,17,00,4.8,4,南西,4,11,42,4,,,22.9,8,北西,8,2013,03,02,17.7,8,南南東,8,2016,08,17,2003
18171,北海道根室地方,中標津（ナカシベツ）,,2022,08,10,17,00,4.8,4,南西,4,13,16,4,,,17.2,8,南南西,8,2013,11,10,13,8,///,8,1981,08,23,1977
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,,2022,08,10,17,00,5.8,4,西南西,4,13,08,4,,,19,8,南,8,2004,09,08,17.2,8,南,8,2016,08,17,2003
18256,北海道根室地方,別海（ベツカイ）,,2022,08,10,17,00,3.3,4,南南西,4,15,35,4,,,15,8,北西,8,2004,03,27,12.1,8,南南東,8,2016,08,17,1977
18273,北海道根室地方,根室（ネムロ）,47420,2022,08,10,17,00,5.3,4,南西,4,09,11,4,,,30.7,8,北西,8,1910,02,11,21.1,8,北西,8,1922,08,25,1890
18281,北海道根室地方,納沙布（ノサップ）,,2022,08,10,17,00,5.6,4,南,4,15,35,4,,,30.7,8,東,8,2014,12,17,22.0,8,北東,8,2021,08,10,1977
18311,北海道根室地方,厚床（アットコ）,,2022,08,10,17,00,5.2,4,南南西,4,15,49,4,,,18.5,8,東南東,8,2017,09,18,15.3,8,南南東,8,2016,08,17,1977
19021,北海道釧路地方,川湯（カワユ）,,2022,08,10,17,00,2.6,4,南南西,4,13,41,4,,,18,8,南東,8,1981,08,23,18,8,南東,8,1981,08,23,1977
19051,北海道釧路地方,弟子屈（テシカガ）,,2022,08,10,17,00,4.9,4,南東,4,13,02,4,,,27.9,8,北北西,8,2009,02,21,21.6,8,南南東,8,2016,08,17,1977
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,,2022,08,10,17,00,2.2,4,東,4,08,22,4,,,12.5,8,南西,8,2018,04,30,9.4,8,南西,8,2020,08,11,1977
19151,北海道釧路地方,標茶（シベチャ）,,2022,08,10,17,00,3.1,4,南南西,4,12,35,4,,,18,8,東北東,8,2007,01,07,13.3,8,南,8,2016,08,17,1977
19191,北海道釧路地方,鶴居（ツルイ）,,2022,08,10,17,00,3.1,4,南南西,4,12,22,4,,,13.0,8,南南西,8,2013,11,10,11.8,8,南南東,8,2016,08,17,1977
19261,北海道釧路地方,中徹別（ナカテシベツ）,,2022,08,10,17,00,3.0,4,南,4,14,19,4,,,14.0,8,南,8,2013,11,10,9,8,南東,8,1981,08,23,1977
19311,北海道釧路地方,榊町（サカキマチ）,,2022,08,10,17,00,4.1,4,南南西,4,15,39,4,,,23.1,8,南東,8,2017,09,18,18,8,南,8,1981,08,23,1977
19347,北海道釧路地方,鶴丘（ツルオカ）,,2022,08,10,17,00,5.8,4,南,4,09,42,4,,,24.0,8,南南東,8,2016,08,17,24.0,8,南南東,8,2016,08,17,2003
19376,北海道釧路地方,太田（オオタ）,,2022,08,10,17,00,4.3,4,南南西,4,15,28,4,,,18.2,8,南東,8,2017,09,18,17.7,8,南東,8,2016,08,17,1977
19416,北海道釧路地方,白糠（シラヌカ）,,2022,08,10,17,00,4.5,4,南南西,4,09,57,4,,,19.6,8,南南東,8,2016,08,17,19.6,8,南南東,8,2016,08,17,1977
19432,北海道釧路地方,釧路（クシロ）,47418,2022,08,10,17,00,8.7,4,南南西,4,10,00,4,,,31.8,8,南,8,2016,08,17,31.8,8,南,8,2016,08,17,1910
19451,北海道釧路地方,知方学（チッポマナイ）,,2022,08,10,17,00,5.6,4,南南西,4,15,55,4,,,28.3,8,南,8,2021,12,01,25.7,8,南,8,2016,08,17,1978
20146,北海道十勝地方,陸別（リクベツ）,,2022,08,10,17,00,3.4,4,南,4,12,00,4,,,12,8,北北西,8,2004,02,23,9.3,8,南南東,8,2016,08,17,1977
20186,北海道十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,,2022,08,10,17,00,1.6,4,南東,4,14,54,4,,,9,8,西南西,8,1980,04,05,6,8,西南西,8,1976,08,03,1976
20266,北海道十勝地方,上士幌（カミシホロ）,,2022,08,10,17,00,3.5,4,南,4,09,25,4,,,16.4,8,西南西,8,2021,02,16,8.6,8,西南西,8,2021,08,31,1977
20276,北海道十勝地方,足寄（アショロ）,,2022,08,10,17,00,3.1,4,南南東,4,09,28,4,,,14.1,8,南東,8,2016,08,17,14.1,8,南東,8,2016,08,17,1977
20341,北海道十勝地方,本別（ホンベツ）,,2022,08,10,17,00,2.3,4,南南西,4,16,39,4,,,14.7,8,北,8,2015,10,08,11.2,8,東南東,8,2016,08,17,1976
20356,北海道十勝地方,新得（シントク）,,2022,08,10,17,00,2.5,4,北北西,4,03,32,4,,,14.9,4,西南西,4,2010,03,21,8,8,北,8,2007,08,22,1977
20361,北海道十勝地方,鹿追（シカオイ）,,2022,08,10,17,00,3.4,4,北北西,4,09,54,4,,,17.4,8,西北西,8,2012,04,04,12,8,西,8,2004,08,31,1978
20371,北海道十勝地方,駒場（コマバ）,,2022,08,10,17,00,2.3,4,南南東,4,14,25,4,,,15.6,8,西北西,8,2012,04,04,10.6,8,西北西,8,2013,08,28,1977
20421,北海道十勝地方,芽室（メムロ）,,2022,08,10,17,00,2.0,4,南南西,4,02,21,4,,,14.4,8,北西,8,2015,04,04,10.4,8,北西,8,2016,08,23,1977
20432,北海道十勝地方,帯広（オビヒロ）,47417,2022,08,10,17,00,2.1,4,北北東,4,11,24,4,,,20.3,8,西北西,8,1936,04,27,15.1,8,西北西,8,1935,08,30,1892
20441,北海道十勝地方,池田（イケダ）,,2022,08,10,17,00,3.2,4,東,4,07,05,4,,,18,8,北北東,8,2008,02,24,16,8,南東,8,1981,08,23,1977
20506,北海道十勝地方,浦幌（ウラホロ）,,2022,08,10,17,00,2.3,4,南,4,10,09,4,,,14,8,西北西,8,1995,04,20,11.1,8,南南東,8,2016,08,17,1977
20551,北海道十勝地方,帯広泉（オビヒロイズミ）,,2022,08,10,17,00,3.6,4,南東,4,16,50,4,,,18.4,8,南南東,8,2018,09,05,17.2,8,南東,8,2016,08,17,2003
20556,北海道十勝地方,糠内（ヌカナイ）,,2022,08,10,17,00,2.1,4,北北東,4,11,24,4,,,13,8,北西,8,1980,03,10,10,8,///,8,1981,08,23,1978
20601,北海道十勝地方,上札内（カミサツナイ）,,2022,08,10,17,00,3.5,4,北,4,11,06,4,,,23.2,8,西南西,8,2021,12,01,13.5,8,東南東,8,2016,08,17,1977
20606,北海道十勝地方,更別（サラベツ）,,2022,08,10,17,00,3.3,4,南東,4,16,32,4,,,18.4,8,南西,8,2021,12,01,16.4,8,東南東,8,2016,08,17,1977
20631,北海道十勝地方,大津（オオツ）,,2022,08,10,17,00,3.5,4,南南西,4,08,58,4,,,24.7,8,南南東,8,2016,08,17,24.7,8,南南東,8,2016,08,17,1977
20696,北海道十勝地方,大樹（タイキ）,,2022,08,10,17,00,2.8,4,南東,4,10,45,4,,,16.1,8,北西,8,2016,04,15,14.2,8,南東,8,2016,08,17,1977
20751,北海道十勝地方,広尾（ヒロオ）,47440,2022,08,10,17,00,4.0,4,西南西,4,04,36,4,,,28.7,8,西南西,8,1967,04,05,18.9,8,南南東,8,2016,08,17,1958
21111,北海道胆振地方,厚真（アツマ）,,2022,08,10,17,00,4.7,4,南,4,12,22,4,,,18.3,8,南南東,8,2018,09,05,17,8,///,8,1981,08,23,1977
