観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最高気温(℃),今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの8月の1位の値,昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値の起日（年）,昨日までの8月の1位の値の起日（月）,昨日までの8月の1位の値の起日（日）,統計開始年
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2022,08,10,17,00,28.3,4,11,34,4,+3.5,+0.8,88,0,,,0,30.2,4,2022,07,09,35.8,8,2021,08,07,35.8,8,2021,08,07,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2022,08,10,17,00,29.2,4,13,34,4,+6.7,+0.1,88,0,,,0,30.8,4,2022,07,30,35.0,8,2000,07,31,34.6,8,2000,08,01,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2022,08,10,17,00,29.2,4,13,42,4,+4.7,+1.2,88,0,,,0,31.7,4,2022,07,30,35.4,8,1989,07,26,35.2,8,2021,08,07,1977
12011,北海道上川地方,中川（ナカガワ）,,2022,08,10,17,00,27.7,4,11,50,4,+2.6,+0.4,88,0,,,0,30.8,4,2022,07,09,36.2,8,2021,07,28,35.7,8,2021,08,07,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2022,08,10,17,00,27.9,4,13,17,4,+2.5,0.0,88,0,,,0,31.1,4,2022,07,08,36.6,8,2021,07,28,35.5,8,2021,08,07,1977
12141,北海道上川地方,美深（ビフカ）,,2022,08,10,17,00,27.9,4,11,41,4,+1.5,-0.9,88,0,,,0,31.5,4,2022,07,11,36.6,8,2021,07,28,35.9,8,1978,08,03,1977
12181,北海道上川地方,名寄（ナヨロ）,,2022,08,10,17,00,28.2,4,13,46,4,+1.9,-0.6,88,0,,,0,32.1,4,2022,07,11,36.4,8,2021,07,28,35.6,8,1984,08,16,1976
12231,北海道上川地方,下川（シモカワ）,,2022,08,10,17,00,27.6,4,13,37,4,+2.0,-1.6,88,0,,,0,31.5,4,2022,07,30,37.3,8,2021,07,28,36.2,8,2021,08,07,1977
12261,北海道上川地方,士別（シベツ）,,2022,08,10,17,00,27.1,4,14,30,4,+0.9,-1.6,88,0,,,0,31.8,4,2022,07,30,37.0,8,2021,08,07,37.0,8,2021,08,07,1977
12266,北海道上川地方,朝日（アサヒ）,,2022,08,10,17,00,27.8,4,14,25,4,+1.6,-1.7,88,0,,,0,31.5,4,2022,07,30,37.2,8,2021,08,07,37.2,8,2021,08,07,1977
12301,北海道上川地方,和寒（ワッサム）,,2022,08,10,17,00,28.1,4,14,53,4,+1.5,-1.0,88,0,,,0,31.7,4,2022,07,30,36.8,8,2021,08,07,36.8,8,2021,08,07,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2022,08,10,17,00,27.8,4,14,49,4,+1.4,-2.0,88,0,,,0,31.4,4,2022,07,30,38.4,8,2021,07,31,37.7,8,2021,08,07,1977
12396,北海道上川地方,比布（ピップ）,,2022,08,10,17,00,27.2,4,14,06,4,+0.3,-2.5,8,1,,,0,31.4,4,2022,07,30,36.9,8,2021,08,07,36.9,8,2021,08,07,1977
12411,北海道上川地方,上川（カミカワ）,,2022,08,10,17,00,25.5,4,15,08,4,+0.3,-1.9,8,1,,,0,30.4,4,2022,07,30,35.1,8,2021,08,07,35.1,8,2021,08,07,1977
12442,北海道上川地方,旭川（アサヒカワ）,47407,2022,08,10,17,00,27.9,4,14,51,4,+0.8,-3.0,88,0,,,0,32.0,4,2022,07,30,37.9,8,2021,08,07,37.9,8,2021,08,07,1888
12451,北海道上川地方,東川（ヒガシカワ）,,2022,08,10,17,00,27.3,4,15,18,4,+0.7,-2.8,88,0,,,0,32.8,4,2022,07,30,37.0,8,2021,08,06,37.0,8,2021,08,06,1977
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2022,08,10,17,00,26.2,4,13,52,4,-0.8,-3.2,8,2,,,0,31.1,4,2022,07,30,36.1,8,2021,08,07,36.1,8,2021,08,07,2003
12512,北海道上川地方,志比内（シビナイ）,,2022,08,10,17,00,26.9,4,14,50,4,+1.1,-2.1,88,0,,,0,31.1,4,2022,07,30,35.3,8,2021,08,07,35.3,8,2021,08,07,1993
12551,北海道上川地方,美瑛（ビエイ）,,2022,08,10,17,00,26.1,4,15,02,4,-0.3,-3.9,8,2,,,0,32.0,4,2022,07,30,37.1,8,2021,08,07,37.1,8,2021,08,07,1977
12596,北海道上川地方,上富良野（カミフラノ）,,2022,08,10,17,00,27.0,4,14,07,4,+0.1,-2.7,8,1,,,0,33.4,4,2022,07,30,37.5,8,2021,08,07,37.5,8,2021,08,07,1977
12626,北海道上川地方,富良野（フラノ）,,2022,08,10,17,00,26.3,4,15,50,4,-0.5,-3.2,8,2,,,0,33.3,4,2022,07,30,38.5,8,2021,08,07,38.5,8,2021,08,07,1976
12632,北海道上川地方,麓郷（ロクゴウ）,,2022,08,10,17,00,24.7,4,11,31,4,-1.1,-3.4,8,3,,,0,31.6,4,2022,07,03,37.4,8,2021,08,07,37.4,8,2021,08,07,1978
12691,北海道上川地方,幾寅（イクトラ）,,2022,08,10,17,00,23.1,4,14,34,4,-1.8,-3.9,8,3,,,0,31.8,4,2022,07,30,34.6,8,1994,08,10,34.6,8,1994,08,10,1977
12746,北海道上川地方,占冠（シムカップ）,,2022,08,10,17,00,21.9,4,13,04,4,-3.3,-3.7,9,1,,,0,30.3,4,2022,07,30,34.6,8,2021,07,19,34.2,8,2021,08,07,1977
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2022,08,10,17,00,26.2,4,13,58,4,+1.4,-1.2,88,0,,,0,29.6,4,2022,07,06,34.9,8,2021,07,28,33.9,8,1989,08,07,1978
15076,北海道上川地方,幌加内（ホロカナイ）,,2022,08,10,17,00,26.7,4,13,30,4,+0.7,-1.2,88,0,,,0,31.4,4,2022,07,06,37.3,8,2021,07,28,36.5,8,2021,08,07,1977
13061,北海道留萌地方,天塩（テシオ）,,2022,08,10,17,00,26.7,4,13,01,4,+2.9,+0.9,88,0,,,0,31.6,4,2022,07,10,33.8,4,2021,07,27,32.5,8,2021,08,07,1977
13086,北海道留萌地方,遠別（エンベツ）,,2022,08,10,17,00,26.1,4,13,01,4,+1.1,+0.1,88,0,,,0,32.0,4,2022,07,10,34.2,8,1979,08,18,34.2,8,1979,08,18,1977
13121,北海道留萌地方,初山別（ショサンベツ）,,2022,08,10,17,00,25.0,4,13,48,4,+0.6,-0.3,88,0,,,0,28.9,4,2022,07,10,33.8,8,2021,08,01,33.8,8,2021,08,01,1977
13146,北海道留萌地方,焼尻（ヤギシリ）,,2022,08,10,17,00,25.4,4,13,29,4,+1.8,-0.3,88,0,,,0,28.4,4,2022,07,12,31.6,8,2021,08,07,31.6,8,2021,08,07,1977
13181,北海道留萌地方,羽幌（ハボロ）,47404,2022,08,10,17,00,25.9,4,13,48,4,+1.0,+0.3,88,0,,,0,30.0,4,2022,07,08,34.4,8,2021,08,01,34.4,8,2021,08,01,1921
13261,北海道留萌地方,達布（タップ）,,2022,08,10,17,00,26.9,4,13,17,4,+0.4,-1.1,88,0,,,0,32.3,4,2022,07,06,38.7,8,2021,08,07,38.7,8,2021,08,07,1977
13277,北海道留萌地方,留萌（ルモイ）,47406,2022,08,10,17,00,25.0,4,15,08,4,+0.2,+0.3,88,0,,,0,29.7,4,2022,07,08,35.6,8,2021,08,01,35.6,8,2021,08,01,1943
13311,北海道留萌地方,増毛（マシケ）,,2022,08,10,17,00,26.6,4,10,25,4,+1.7,+0.5,88,0,,,0,30.5,4,2022,06,25,34.2,8,2021,08,01,34.2,8,2021,08,01,1978
13321,北海道留萌地方,幌糠（ホロヌカ）,,2022,08,10,17,00,27.5,4,12,52,4,+1.4,-1.0,88,0,,,0,30.8,4,2022,07,04,35.9,8,2021,08,07,35.9,8,2021,08,07,1977
14026,北海道石狩地方,浜益（ハママス）,,2022,08,10,17,00,26.5,4,14,24,4,+0.8,-0.1,88,0,,,0,30.0,4,2022,06,25,34.6,8,1989,08,07,34.6,8,1989,08,07,1977
14071,北海道石狩地方,厚田（アツタ）,,2022,08,10,17,00,26.6,4,12,52,4,+0.6,-1.6,88,0,,,0,30.8,4,2022,07,30,36.1,8,2021,07,28,35.2,8,2021,08,07,1977
14101,北海道石狩地方,新篠津（シンシノツ）,,2022,08,10,17,00,25.0,4,12,45,4,-1.1,-3.6,8,3,,,0,31.5,4,2022,07,03,35.1,8,2021,07,28,35.0,8,2021,08,06,1978
14116,北海道石狩地方,山口（ヤマグチ）,,2022,08,10,17,00,28.1,4,12,41,4,+1.3,-0.6,88,0,,,0,32.3,4,2022,07,06,37.1,8,2021,07,28,36.0,8,2021,08,03,1977
14121,北海道石狩地方,石狩（イシカリ）,,2022,08,10,17,00,26.8,4,12,52,4,+0.9,-2.2,88,0,,,0,30.9,4,2022,07,09,35.4,8,2021,07,28,35.3,8,2021,08,06,1990
14136,北海道石狩地方,江別（エベツ）,,2022,08,10,17,00,24.6,4,12,29,4,-1.9,-4.1,7,3,,,0,31.4,4,2022,07,03,35.6,8,2021,07,31,34.6,8,2021,08,06,2000
14163,北海道石狩地方,札幌（サッポロ）,47412,2022,08,10,17,00,27.8,4,12,15,4,+1.0,-2.7,88,0,,,0,32.9,4,2022,07,31,36.2,8,1994,08,07,36.2,8,1994,08,07,1876
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2022,08,10,17,00,24.0,4,11,06,4,-1.4,-2.9,7,3,,,0,30.8,4,2022,07,03,34.3,8,1999,08,08,34.3,8,1999,08,08,1977
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2022,08,10,17,00,22.1,4,12,28,4,-1.4,-3.1,7,2,,,0,29.7,4,2022,07,31,31.9,8,2007,08,14,31.9,8,2007,08,14,1977
14296,北海道石狩地方,千歳（チトセ）,,2022,08,10,17,00,23.7,4,15,07,4,-2.0,-2.2,7,3,,,0,31.3,4,2022,07,31,34.2,8,2011,08,11,34.2,8,2011,08,11,2003
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2022,08,10,17,00,27.3,4,14,23,4,+0.8,-2.0,88,0,,,0,31.8,4,2022,07,30,36.9,8,2021,08,07,36.9,8,2021,08,07,1976
15161,北海道空知地方,深川（フカガワ）,,2022,08,10,17,00,27.7,4,12,31,4,+1.5,-2.4,88,0,,,0,31.2,4,2022,07,30,36.1,8,2021,08,06,36.1,8,2021,08,06,1977
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2022,08,10,17,00,27.4,4,13,50,4,+0.9,-1.8,88,0,,,0,31.2,4,2022,07,30,36.8,8,2021,08,07,36.8,8,2021,08,07,1978
15241,北海道空知地方,滝川（タキカワ）,,2022,08,10,17,00,26.7,4,14,28,4,+0.2,-3.2,8,1,,,0,31.0,4,2022,07,30,36.0,8,2021,07,28,35.5,8,2021,08,06,1976
15251,北海道空知地方,芦別（アシベツ）,,2022,08,10,17,00,27.6,4,13,47,4,+0.2,-3.0,8,1,,,0,32.5,4,2022,07,30,37.2,8,2021,07,31,36.7,8,2021,08,07,1978
15311,北海道空知地方,月形（ツキガタ）,,2022,08,10,17,00,25.9,4,12,56,4,-0.2,-3.8,8,2,,,0,31.1,4,2022,07,03,36.3,8,2021,07,31,35.7,8,2021,08,06,1977
15321,北海道空知地方,美唄（ビバイ）,,2022,08,10,17,00,26.3,4,13,26,4,-0.5,-3.1,8,2,,,0,31.4,4,2022,07,03,35.6,8,2021,08,06,35.6,8,2021,08,06,1977
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2022,08,10,17,00,25.6,4,12,39,4,-0.9,-3.8,8,3,,,0,32.3,4,2022,07,03,35.5,8,2021,07,31,35.1,8,2021,08,06,1946
15431,北海道空知地方,長沼（ナガヌマ）,,2022,08,10,17,00,24.8,4,11,30,4,-1.0,-3.2,7,3,,,0,32.1,4,2022,07,03,35.0,8,2021,07,31,34.6,8,2007,08,13,1977
15442,北海道空知地方,夕張（ユウバリ）,,2022,08,10,17,00,22.8,4,11,22,4,-2.1,-3.9,9,1,,,0,30.3,4,2022,07,03,35.0,8,2021,07,28,34.9,8,2021,08,03,1976
16026,北海道後志地方,美国（ビクニ）,,2022,08,10,17,00,28.6,4,13,42,4,+3.0,-1.2,88,0,,,0,31.2,4,2022,08,07,34.1,8,2021,08,03,34.1,8,2021,08,03,1977
16061,北海道後志地方,神恵内（カモエナイ）,,2022,08,10,17,00,26.6,4,12,21,4,+1.0,-1.1,88,0,,,0,30.7,4,2022,07,10,33.5,8,2021,07,28,32.9,8,1983,08,17,1977
16076,北海道後志地方,余市（ヨイチ）,,2022,08,10,17,00,27.6,4,13,58,4,+1.2,-1.7,88,0,,,0,30.4,4,2022,07,04,34.9,8,1984,08,16,34.9,8,1984,08,16,1977
16091,北海道後志地方,小樽（オタル）,47411,2022,08,10,17,00,27.1,4,16,41,4,+1.2,+0.7,88,0,,,0,32.3,4,2022,08,08,36.2,8,2021,07,28,34.9,8,2000,08,01,1943
16156,北海道後志地方,共和（キョウワ）,,2022,08,10,17,00,27.8,4,15,19,4,+1.5,0.0,88,0,,,0,29.9,4,2022,08,08,34.7,8,2021,08,07,34.7,8,2021,08,07,1977
16206,北海道後志地方,蘭越（ランコシ）,,2022,08,10,17,00,25.2,4,11,38,4,-1.0,-4.5,8,3,,,0,30.6,4,2022,07,03,34.4,8,2021,08,03,34.4,8,2021,08,03,1977
16217,北海道後志地方,倶知安（クッチャン）,47433,2022,08,10,17,00,24.9,4,11,10,4,-0.8,-4.4,8,3,,,0,30.6,4,2022,07,10,34.4,8,2021,08,06,34.4,8,2021,08,06,1944
16252,北海道後志地方,寿都（スッツ）,47421,2022,08,10,17,00,25.1,4,14,06,4,+0.2,-2.6,88,0,,,0,30.9,4,2022,07,03,34.0,8,1904,08,20,34.0,8,1904,08,20,1884
16281,北海道後志地方,真狩（マッカリ）,,2022,08,10,17,00,21.8,4,11,32,4,-2.1,-3.1,9,1,,,0,28.5,4,2022,07,29,32.3,8,2021,07,27,32.3,8,1999,08,09,1978
16286,北海道後志地方,喜茂別（キモベツ）,,2022,08,10,17,00,23.4,4,12,53,4,-2.0,-3.2,9,1,,,0,30.5,4,2022,07,30,34.1,8,2021,07,27,33.7,8,2021,08,03,1977
16321,北海道後志地方,黒松内（クロマツナイ）,,2022,08,10,17,00,24.3,4,10,58,4,-1.0,-4.3,7,3,,,0,33.1,4,2022,07,03,34.5,8,2021,07,18,34.0,8,2007,08,14,1977
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2022,08,10,17,00,29.1,4,15,04,4,+6.5,-0.5,88,0,,,0,31.2,4,2022,07,30,35.2,8,2018,07,31,34.6,8,1999,08,09,1942
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2022,08,10,17,00,28.0,4,12,20,4,+4.7,-2.8,88,0,,,0,32.2,4,2022,07,30,34.3,8,1999,08,09,34.3,8,1999,08,09,1977
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2022,08,10,17,00,28.0,4,12,46,4,+3.1,-0.7,88,0,,,0,31.7,4,2022,07,30,36.4,8,1978,08,03,36.4,8,1978,08,03,1977
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2022,08,10,17,00,29.9,4,15,04,4,+6.9,-1.8,88,0,,,0,32.1,4,2022,06,26,37.0,8,2019,05,26,35.2,8,1994,08,07,1956
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2022,08,10,17,00,29.1,4,15,36,4,+5.2,-0.8,88,0,,,0,31.0,4,2022,06,26,37.2,8,2019,05,26,34.6,8,2012,08,21,2003
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2022,08,10,17,00,28.6,4,14,29,4,+4.7,-2.4,88,0,,,0,32.7,4,2022,06,26,38.5,8,2019,05,26,35.5,8,1994,08,07,1977
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2022,08,10,17,00,28.3,4,13,10,4,+2.7,-0.3,88,0,,,0,31.9,4,2022,07,30,37.7,8,1978,08,03,37.7,8,1978,08,03,1977
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2022,08,10,17,00,27.7,4,16,41,4,+3.3,-3.4,88,0,,,0,32.1,4,2022,06,26,36.9,8,1994,08,07,36.9,8,1994,08,07,1977
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2022,08,10,17,00,28.5,4,16,49,4,+2.8,-2.3,88,0,,,0,32.8,4,2022,07,30,37.7,8,2019,05,26,36.6,8,2000,08,01,1977
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2022,08,10,17,00,27.9,4,16,05,4,+2.6,-3.1,88,0,,,0,32.8,4,2022,06,26,39.5,8,2019,05,26,36.8,8,1994,08,07,1977
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409,2022,08,10,17,00,27.5,4,15,36,4,+3.9,-3.6,88,0,,,0,32.8,4,2022,06,26,37.6,8,1994,08,07,37.6,8,1994,08,07,1889
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2022,08,10,17,00,27.0,4,13,38,4,+3.3,-3.3,88,0,,,0,31.1,4,2022,06,26,35.3,8,2020,08,11,35.3,8,2020,08,11,1978
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2022,08,10,17,00,24.3,4,14,16,4,-0.2,-2.5,8,2,,,0,30.5,4,2022,07,30,34.0,8,2017,07,15,33.6,8,2021,08,07,1993
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2022,08,10,17,00,27.3,4,15,59,4,+1.8,-2.8,88,0,,,0,33.0,4,2022,07,30,37.0,8,2019,05,26,35.9,8,2020,08,11,1977
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2022,08,10,17,00,27.5,4,13,25,4,+1.6,-2.6,88,0,,,0,33.2,4,2022,07,30,38.1,8,2019,05,26,37.1,8,2010,08,06,1976
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2022,08,10,17,00,27.5,4,13,39,4,+1.4,-2.5,88,0,,,0,32.9,4,2022,06,26,37.7,8,2019,05,26,36.9,8,2020,08,11,2003
17546,北海道網走・北見・紋別地方,小清水（コシミズ）,,2022,08,10,17,00,26.6,4,14,18,4,+1.6,-5.1,88,0,,,0,32.9,4,2022,06,26,36.7,8,2019,05,26,36.1,8,2010,08,06,1977
17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2022,08,10,17,00,28.3,4,13,17,4,+3.7,-3.5,88,0,,,0,32.2,4,2022,06,26,36.7,8,2021,07,28,36.6,8,1994,08,07,1977
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2022,08,10,17,00,26.9,4,16,16,4,+1.9,-2.0,88,0,,,0,31.6,4,2022,07,03,36.4,8,2019,05,26,34.3,8,2021,08,07,1978
17607,北海道網走・北見・紋別地方,境野（サカイノ）,,2022,08,10,17,00,26.1,4,15,07,4,+0.9,-4.5,88,0,,,0,32.6,4,2022,06,25,37.4,8,2021,07,18,36.9,8,1994,08,07,1977
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2022,08,10,17,00,28.0,4,13,44,4,+2.7,-1.9,88,0,,,0,32.8,4,2022,07,30,37.4,8,2019,05,26,36.5,8,1994,08,07,1977
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2022,08,10,17,00,26.8,4,13,42,4,+1.0,-2.0,88,0,,,0,32.6,4,2022,07,30,38.0,8,2019,05,26,37.7,8,1994,08,07,1988
18038,北海道根室地方,羅臼（ラウス）,,2022,08,10,17,00,24.2,4,14,22,4,+2.7,-2.8,88,0,,,0,32.6,4,2022,06,26,32.6,8,2022,06,26,32.4,8,2007,08,15,2005
18136,北海道根室地方,標津（シベツ）,,2022,08,10,17,00,25.7,4,14,07,4,+3.9,-2.2,88,0,,,0,31.8,4,2022,07,31,35.0,8,2010,08,06,35.0,8,2010,08,06,1977
18161,北海道根室地方,上標津（カミシベツ）,,2022,08,10,17,00,23.8,4,13,48,4,-0.2,-4.0,8,2,,,0,31.8,4,2022,07,31,35.2,8,2019,05,26,34.0,8,2010,08,07,2003
18171,北海道根室地方,中標津（ナカシベツ）,,2022,08,10,17,00,24.7,4,13,59,4,+1.7,-3.2,88,0,,,0,32.0,4,2022,07,31,36.5,8,2019,05,26,35.2,8,2007,08,15,1977
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,,2022,08,10,17,00,24.7,4,14,48,4,+1.0,-3.5,88,0,,,0,33.1,4,2022,07,31,36.8,8,2019,05,26,34.7,8,2007,08,15,2003
18256,北海道根室地方,別海（ベツカイ）,,2022,08,10,17,00,25.1,4,13,14,4,+2.1,-2.3,88,0,,,0,33.0,4,2022,07,31,36.6,8,2019,05,26,35.4,8,1983,08,06,1977
18273,北海道根室地方,根室（ネムロ）,47420,2022,08,10,17,00,24.4,4,13,27,4,+3.4,-2.7,88,0,,,0,29.7,4,2022,07,31,34.0,8,2019,05,26,33.6,8,2015,08,05,1879
18281,北海道根室地方,納沙布（ノサップ）,,2022,08,10,17,00,25.1,4,13,40,4,+4.8,-1.4,88,0,,,0,30.0,4,2022,07,31,33.5,8,2020,08,11,33.5,8,2020,08,11,1977
18311,北海道根室地方,厚床（アットコ）,,2022,08,10,17,00,23.6,4,12,55,4,+1.6,-3.4,88,0,,,0,32.9,4,2022,07,31,34.9,8,2015,08,05,34.9,8,2015,08,05,1977
19021,北海道釧路地方,川湯（カワユ）,,2022,08,10,17,00,24.9,4,14,22,4,+1.4,-3.9,88,0,,,0,32.0,4,2022,06,25,36.0,8,2019,05,26,35.1,8,2010,08,06,1977
19051,北海道釧路地方,弟子屈（テシカガ）,,2022,08,10,17,00,22.7,4,14,21,4,0.0,-4.5,8,1,,,0,31.2,4,2022,06,25,35.7,8,2019,05,26,34.4,8,2010,08,06,1977
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,,2022,08,10,17,00,22.6,4,14,53,4,-0.6,-4.3,8,2,,,0,30.8,4,2022,07,03,35.5,8,2019,05,26,33.9,8,2019,08,02,1977
19151,北海道釧路地方,標茶（シベチャ）,,2022,08,10,17,00,23.2,4,13,46,4,-0.5,-3.1,8,2,,,0,31.9,4,2022,07,31,34.6,8,2010,08,07,34.6,8,2010,08,07,1977
19191,北海道釧路地方,鶴居（ツルイ）,,2022,08,10,17,00,24.0,4,13,51,4,+0.1,-3.6,8,1,,,0,34.0,4,2022,07,31,35.1,8,2010,08,07,35.1,8,2010,08,07,1977
19261,北海道釧路地方,中徹別（ナカテシベツ）,,2022,08,10,17,00,24.3,4,13,33,4,-0.1,-3.0,8,2,,,0,33.7,4,2022,07,31,36.1,8,2019,05,26,36.1,8,1994,08,08,1977
19311,北海道釧路地方,榊町（サカキマチ）,,2022,08,10,17,00,23.4,4,12,43,4,+2.4,-3.2,88,0,,,0,33.2,4,2022,07,31,35.5,8,2010,08,07,35.5,8,2010,08,07,1977
19347,北海道釧路地方,鶴丘（ツルオカ）,,2022,08,10,17,00,23.7,4,12,45,4,+0.8,-2.0,88,0,,,0,33.3,4,2022,07,31,35.6,8,2007,08,15,35.6,8,2007,08,15,2003
19376,北海道釧路地方,太田（オオタ）,,2022,08,10,17,00,22.6,4,13,09,4,+0.4,-3.5,88,0,,,0,32.6,4,2022,07,31,34.7,8,2010,08,07,34.7,8,2010,08,07,1977
19416,北海道釧路地方,白糠（シラヌカ）,,2022,08,10,17,00,24.1,4,12,34,4,+2.0,-1.8,88,0,,,0,33.4,4,2022,07,31,35.5,8,2007,08,15,35.5,8,2007,08,15,1977
19432,北海道釧路地方,釧路（クシロ）,47418,2022,08,10,17,00,22.7,4,12,55,4,+1.1,-1.6,88,0,,,0,33.5,4,2022,07,31,33.5,8,2022,07,31,31.1,8,2011,08,11,1910
19451,北海道釧路地方,知方学（チッポマナイ）,,2022,08,10,17,00,22.2,4,08,14,4,+2.2,-1.0,88,0,,,0,30.1,4,2022,07,31,31.5,8,2010,06,26,30.7,8,1994,08,08,1978
